,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Marcus Sasser,PG,-%,-,-,,,,-,
Dereon Seabron,SG,4.00%,8.5,9.5,6' 4.75'',6' 5.75'',8' 7.50'',182.4,6' 8.75''
Shaedon Sharpe,SG,4.80%,9,9.25,6' 4.25'',6' 5.25'',8' 7.50'',198,6' 11.50''
Terquavion Smith,SG,3.80%,8.5,8,6' 2.25'',6' 3.75'',8' 2.00'',165.2,6' 6.50''
Jabari Smith,PF,-%,-,-,,,,-,
Jeremy Sochan,PF,-%,-,-,,,,-,
Matteo Spagnolo,PG,8.60%,8.25,10,6' 4.00'',6' 5.50'',8' 6.00'',196.2,6' 8.00''
Julian Strawther,SF,7.90%,8.25,8.5,6' 5.75'',6' 7.00'',8' 8.50'',207.6,6' 9.50''
Dalen Terry,SG,5.40%,8.5,9,6' 6.00'',6' 7.25'',8' 10.00'',195.2,7' 0.75''
Drew Timme,C,15.70%,9,10,6' 8.25'',6' 9.25'',8' 11.50'',231.6,7' 2.00''
Jabari Walker,PF,12.10%,8.75,9.75,6' 6.75'',6' 8.00'',8' 9.00'',213.8,6' 10.75''
TyTy Washington Jr.,SG,12.00%,8.5,9.25,6' 2.25'',6' 3.75'',8' 3.50'',196.4,6' 8.00''
Peyton Watson,SF,5.20%,8.5,9.5,6' 6.75'',6' 8.00'',8' 11.50'',203.4,7' 0.50''
Blake Wesley,SG,5.60%,8.25,9,6' 3.00'',6' 4.25'',8' 7.00'',187.2,6' 9.25''
Alondes Williams,SG,7.20%,8.5,9.25,6' 3.75'',6' 5.00'',8' 6.00'',209,6' 7.00''
Jalen Williams,SG,8.90%,8.5,9.5,6' 4.50'',6' 5.75'',8' 9.50'',209.2,7' 2.25''
Jaylin Williams,C,8.00%,8.5,10.5,6' 8.75'',6' 10.00'',9' 0.50'',236.6,7' 1.00''
Trevion Williams,C,10.80%,9,10.25,6' 7.25'',6' 8.75'',9' 0.50'',264.6,7' 2.75''
Bryson Williams,PF-C,-%,-,-,,,,-,
Mark Williams,C,5.40%,9,9.75,7' 0.00'',7' 2.00'',9' 9.00'',242.4,7' 6.50''
Jalen Wilson,SF-PF,-%,-,-,,,,-,
Fanbo Zeng,SF-PF,-%,-,-,,,,-,
Max Abmas,PG,5.50%,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75''
Ochai Agbaji,SG,4.15%,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0''
Marcus Bagley,SF,7.50%,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0''
Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75''
Charles Bassey,C,5.90%,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0''
Brandon Boston Jr.,SF,6.00%,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75''
James Bouknight,SG,5.50%,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25''
Greg Brown III,PF,5.50%,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25''
Jared Butler,PG,5.10%,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0''
Julian Champagnie,SF,8.00%,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0''
Justin Champagnie,PF,6.30%,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5''
Josh Christopher,SG,5.80%,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25''
Sharife Cooper,PG,-%,-,-,,,,-,
Cade Cunningham,PG,-%,-,-,,,,-,
Ayo Dosunmu,SG,4.90%,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25''
David Duke Jr.,SG,5.90%,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75''
Kessler Edwards,PF,4.30%,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25''
Luka Garza,C,11.70%,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5''
RaiQuan Gray,PF,17.30%,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75''
Jalen Green,SG,-%,-,-,,,,-,
Quentin Grimes,SG,6.60%,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0''
Sam Hauser,SF,7.90%,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25''
Aaron Henry,SF,5.60%,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75''
Ariel Hukporti,C,8.10%,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5''
Matt Hurt,PF,15.20%,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5''
Nah'Shon Hyland,SG,5.80%,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25''
Isaiah Jackson,C,-%,-,-,,,,-,
David Johnson,SG,7.50%,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5''
Jalen Johnson,PF,4.50%,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25''
Keon Johnson,SG,4.40%,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25''
Carlik Jones,PG,4.50%,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0''
Kai Jones,PF,4.70%,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75''
Herbert Jones,SF,5.80%,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25''
Johnny Juzang,SG,8.00%,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5''
Corey Kispert,SF,6.80%,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0''
Jonathan Kuminga,SF,-%,-,-,,,,-,
AJ Lawson,SG-SF,4.40%,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75''
Scottie Lewis,SF,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0''
Isaiah Livers,SF,9.40%,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25''
Makur Maker,C,14.50%,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75''
Sandro Mamukelashvili,C,7.80%,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25''
Tre Mann,PG,4.10%,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0''
Matthew Mayer,PF,-%,-,-,,,,-,
Miles McBride,PG,6.00%,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75''
Davion Mitchell,PG,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25''
Evan Mobley,PF,-%,-,-,,,,-,
Isaiah Mobley,PF,12.90%,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0''
Moses Moody,SG,6.80%,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75''
Trey Murphy III,SF,8.10%,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0''
Daishen Nix,PG,11.80%,8.5,9,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75''
John Petty Jr.,SG,5.60%,8.5,9,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5''
Yves Pons,PF,4.00%,9,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75''
Jason Preston,PG,5.45%,8.5,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5''
Joshua Primo,SG,6.30%,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25''
Roko Prkacin,PF,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0''
Neemias Queta,C,7.60%,9.25,10.5,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0''
Austin Reaves,SG,11.00%,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25''
Jeremiah Robinson-Earl,PF,8.90%,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75''
Terrence Shannon Jr.,SF,6.70%,8,8,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25''
Day'Ron Sharpe,C,-%,-,-,,,,-,
Jericho Sims,C,5.50%,9,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25''
Jaden Springer,SG,6.30%,8.5,9.75,6'3.0'',6'4.25'',8'3.0'',202,6'7.75''
DJ Steward,PG,5.00%,8.5,9,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0''
Cam Thomas,SG,-%,-,-,,,,-,
JT Thor,PF,6.10%,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25''
Isaiah Todd,PF,6.20%,9,9.75,6'8.75'',6'10.0'',8'11.5'',219,7'1.25''
Duane Washington Jr.,SG,5.10%,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75''
Trendon Watford,PF,10.10%,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25''
Joe Wieskamp,SF,4.10%,8.5,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0''
Aaron Wiggins,SG-SF,5.00%,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75''
Ziaire Williams,SF,4.40%,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25''
Moses Wright,PF,5.60%,9,9.5,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75''
McKinley Wright IV,PG,6.70%,8.5,9,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25''
Marcus Zegarowski,PG,7.20%,8,9.5,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75''
Precious Achiuwa,PF,6.70%,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75''
Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00''
Udoka Azubuike,C,9.61%,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25''
Tyler Bey,PF,5.00%,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25''
Yoeli Childs,PF,8.20%,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50''
Mamadi Diakite,PF,7.83%,9,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75''
Devon Dotson,PG,4.60%,8.25,10,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00''
Paul Eboua,SF-PF,3.80%,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50''
CJ Elleby,SG-SF,4.20%,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25''
Trent Forrest,PG,5.65%,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50''
Josh Green,SG-SF,6.80%,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75''
Ashton Hagans,PG,4.10%,9,9,6'1.50'',6'2.50'',8'3.50'',193,6'8.00''
Joshua Hall,SF,7.60%,8.75,9.5,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00''
Jalen Harris,SG,4.40%,8.25,9.5,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00''
Markus Howard,PG,9.91%,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25''
Elijah Hughes,SF-SG,10.20%,8.5,8.75,6'4.75'',6'6.50'',8'5.50'',229,6'7.50''
Isaiah Joe,SG,4.70%,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50''
Mason Jones,SG,8.90%,8.75,8.5,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00''
Nathan Knight,PF-C,8.20%,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00''
Theo Maledon,PG,2.80%,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75''
Karim Mane,PG-SG,3.73%,8.5,9.75,6'5.00'',6'6.00'',8'6.00'',196,6'11.00''
Naji Marshall,SF,8.70%,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75''
Kenyon Martin Jr.,SF-PF,5.90%,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25''
Skylar Mays,SG,7.40%,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00''
Zeke Nnaji,PF-C,5.90%,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00''
Jordan Nwora,SF-PF,11.68%,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223,6'10.25''
Reggie Perry,PF-C,8.40%,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25''
Myles Powell,PG-SG,15.80%,8,9,6'0.50'',6'1.50'',8'3.00'',194,6'7.00''
Immanuel Quickley,SG,8.20%,8,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25''
Jahmi'us Ramsey,SG,3.40%,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00''
Paul Reed Jr.,PF,6.83%,9,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00''
Nick Richards,C,8.50%,9,9,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25''
Grant Riller,PG-SG,5.40%,8,8.5,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25''
Jayden Scrubb,SG-SF,3.70%,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50''
Jalen Smith,PF-C,3.70%,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25''
Cassius Stanley,SG,5.80%,8.25,9,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00''
Lamar Stevens,SF-PF,6.80%,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228,6'9.00''
Isaiah Stewart,C,7.50%,9,10.5,6'7.25'',6'8.50'',9'0.50'',243,7'4.75''
Tyrell Terry,PG,7.60%,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170,6'1.75''
Killian Tillie,PF,12.43%,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00''
Xavier Tillman Sr.,PF-C,8.50%,10.25,11,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00''
Kaleb Wesson,C,12.50%,9,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50''
Kahlil Whitney,SF,5.30%,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205,7'0.25''
Cassius Winston,PG,9.00%,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196,6'6.00''
Robert Woodard II,SF,4.50%,9,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00''
Nickeil Alexander-Walker,SG,5.90%,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5''
RJ Barrett,SF,-%,-,-,,,,-,
Charles Bassey,C,8.50%,9.25,9.5,6' 8.75'',6' 10'',9' 1.5'',239,7' 3.5''
Darius Bazley,PF,3.60%,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
Bol Bol,C,7.10%,9.25,9.5,7' 0.75'',7' 2.5'',9' 7.5'',208,7' 7''
Jordan Bone,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
Brian Bowen II,SF,6.50%,8.5,9.75,6' 6.25'',6' 7.5'',8' 7'',200,6' 10''
Ky Bowman,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Ignas Brazdeikis,SF,6.00%,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
O'Shae Brissett,SF-PF,2.90%,9,9.5,6' 7'',6' 8'',8' 8'',203.2,7' 0''
Moses Brown,C,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Brandon Clarke,SF,4.90%,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25''
Nicolas Claxton,C,4.50%,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
Tyler Cook,PF,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Jarrett Culver,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Terence Davis,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Luguentz Dort,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Devon Dotson,PG,5.90%,8.25,9.5,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25''
Carsen Edwards,PG,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6''
Tacko Fall,C,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Bruno Fernando,C,5.40%,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25''
Daniel Gafford,PF,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25''
Darius Garland,PG,-%,-,-,,,,-,
Quentin Grimes,SG,8.40%,8.25,10,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75''
Kyle Guy,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Jaylen Hands,PG,5.10%,8,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5''
Jared Harper,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Jaxson Hayes,PF,5.00%,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5''
Dewan Hernandez,C,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Tyler Herro,SG,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Jalen Hoard,PF,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75''
Talen Horton-Tucker,SG,8.40%,9.5,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25''
De'Andre Hunter,,-%,-,-,,,,-,
DaQuan Jeffries,SF-PF,3.90%,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25''
Ty Jerome,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Keldon Johnson,SG,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Cameron Johnson,SG,5.80%,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10''
Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Louis King,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Romeo Langford,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11''
Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233,7' 2.25''
Jalen Lecque,PG,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
Nassir Little,SF,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Terance Mann,SG-SF,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Cody Martin,PG-SG,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25''
Charles Matthews,SG,3.80%,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5''
Jalen McDaniels,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
Ja Morant,PG,-%,-,-,,,,-,
Zach Norvell Jr.,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Jaylen Nowell,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
Jordan Nwora,PF,7.80%,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5''
Chuma Okeke,,-%,-,-,,,,-,
KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Miye Oni,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Eric Paschall,SF,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Reggie Perry,SF-PF,6.70%,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5''
Shamorie Ponds,PG,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5''
Jordan Poole,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Jontay Porter,PF,8.50%,8.75,9.5,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0''
Kevin Porter Jr.,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
