,,,,,,,,
PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)",Year
Caleb Swanigan,PF,-,-,-,-,-,-,2017
Sindarius Thornwell,SG-SF,11.48,3.03,3.36,27,30.5,15,2017
Melo Trimble,PG,10.75,2.92,3.27,24.5,32,6,2017
Moritz Wagner,PF,12,2.98,3.35,25.5,32.5,-,2017
Derrick Walton Jr.,PG,11.28,3.12,3.29,26,32.5,9,2017
Thomas Welsh,PF-C,-,-,-,-,-,11,2017
Derrick White,PG,10.84,2.92,3.08,31,36.5,10,2017
Nigel Williams-Goss,PG,10.42,3.08,3.19,27.5,34.5,10,2017
D.J. Wilson,PF,-,-,-,-,-,-,2017
Omer Yurtseven,C,12.85,3.3,3.45,26,31.5,6,2017
Ron Baker,SG,10.77,2.96,3.45,30,35.5,-,2016
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38,-,2016
Cat Barber,PG,-,-,-,-,-,-,2016
Malik Beasley,SG,-,-,-,-,-,-,2016
DeAndre Bembry,SG-SF,10.9,2.87,3.17,32,38,-,2016
Ben Bentil,PF,11.16,3.1,3.3,29,33,-,2016
Jaron Blossomgame,SF,11.53,3.26,3.2,35,41,-,2016
Joel Bolomboy,PF,10.26,2.86,3.17,37.5,40.5,-,2016
Malcolm Brogdon,SG,10.77,2.64,3.31,30.5,35.5,-,2016
Jaylen Brown,SG-SF,-,-,-,-,-,-,2016
Marquese Chriss,PF,11.93,3.05,3.26,32.5,38.5,-,2016
Elgin Cook,SF,-,-,-,-,-,-,2016
Isaiah Cousins,PG,10.79,2.97,3.24,30.5,37,-,2016
Deyonta Davis,PF,-,-,-,-,-,-,2016
Cheick Diallo,PF,11.24,3.3,3.26,31,35,-,2016
Kris Dunn,PG,-,-,-,-,-,-,2016
Henry Ellenson,PF,-,-,-,-,-,-,2016
Perry Ellis,PF,10.73,3.03,3.13,32,38,-,2016
Kay Felder,PG,11.52,2.9,3.15,35.5,44,-,2016
Dorian Finney-Smith,SF,11.01,3.04,3.27,32.5,35.5,-,2016
Michael Gbinije,SG,11,3.19,3.12,33.5,37.5,-,2016
Daniel Hamilton,SG-SF,11.48,3.2,3.4,26,29,-,2016
Josh Hart,SG,11.15,3.15,3.2,29.5,38.5,-,2016
Nigel Hayes,SF-PF,12.11,2.9,3.2,25.5,28.5,-,2016
Buddy Hield,SG,-,-,-,-,-,-,2016
Justin Jackson,SF,11.32,2.96,3.26,29.5,34.5,-,2016
Demetrius Jackson,PG,10.81,2.87,3.25,37.5,43.5,-,2016
Brice Johnson,PF,11.88,2.94,3.2,33.5,38,-,2016
Damian Jones,C,11.35,3.12,3.2,36,37,-,2016
Skal Labissiere,PF-C,-,-,-,-,-,-,2016
Jake Layman,SF,11.35,2.82,3.24,33,39.5,-,2016
Caris LeVert,SG,-,-,-,-,-,-,2016
Marcus Lee,PF-C,11.68,3.19,3.25,28.5,35.5,-,2016
Thon Maker,PF,11.15,3.09,3.33,32,36.5,-,2016
Patrick McCaw,PG-SG,11.01,2.97,3.3,30,38,-,2016
Malik Newman,SG,10.88,3.11,3.28,30,35.5,-,2016
Georges Niang,PF,11.64,3.17,3.49,25,31,-,2016
Chinanu Onuaku,C,11.65,3,3.5,27.5,33.5,-,2016
Marcus Paige,PG,10.82,2.69,3.15,33.5,39.5,-,2016
Gary Payton II,PG,11.57,3.17,3.23,31.5,38.5,-,2016
Jakob Poeltl,C,-,-,-,-,-,-,2016
Taurean Prince,SF,10.96,2.8,3.24,34,36,-,2016
Zhou Qi,PF-C,11.27,2.9,3.46,31.5,32,-,2016
Malachi Richardson,SG-SF,10.56,3.25,3.33,33,38,-,2016
Wayne Selden,SG,-,-,-,-,-,-,2016
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,-,2016
Diamond Stone,C,12.02,3.22,3.5,27,29.5,-,2016
Caleb Swanigan,PF,12.8,-,-,26,29,-,2016
Melo Trimble,PG,10.57,2.77,3.2,26.5,35.5,-,2016
Tyler Ulis,PG,10.8,2.88,3.2,32.5,38,-,2016
Jarrod Uthoff,PF,11.52,3.03,3.5,29,34.5,-,2016
Denzel Valentine,SG-SF,10.51,3.22,3.46,27,32,-,2016
Isaiah Whitehead,PG-SG,11.65,3.21,3.34,27.5,35.5,-,2016
Troy Williams,SF,10.72,3.08,3.35,30,36,-,2016
Kyle Wiltjer,PF,11.35,3.04,3.48,28.5,35.5,-,2016
Stephen Zimmerman,C,12.08,3.16,3.43,26,31,-,2016
Cliff Alexander,PF-C,-,-,-,-,-,-,2015
Justin Anderson,SF-SG,11.13,2.88,3.22,38,43,12,2015
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,9,2015
Ryan Boatright,PG,10.71,3.05,3.26,32,41,10,2015
Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8,2015
Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5,4,2015
Willie Cauley-Stein,C,-,-,-,-,-,-,2015
Rakeem Christmas,PF-C,11.6,3.3,3.47,29,32,9,2015
Pat Connaughton,SG,10.58,3.08,3.2,37.5,44,13,2015
Quinn Cook,PG,11.44,3.41,3.38,24.5,31,14,2015
Branden Dawson,PF,12.22,3.53,3.2,28.5,34.5,12,2015
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5,2015
Michael Frazier II,SG,10.66,3.02,3.32,27,35,10,2015
Treveon Graham,SF,11.64,3.15,3.3,28.5,31.5,11,2015
Jerian Grant,PG,-,-,-,-,-,-,2015
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28,34,19,2015
Montrezl Harrell,PF,-,-,-,-,-,-,2015
Andrew Harrison,PG,11.2,-,3.34,26.5,33,-,2015
Aaron Harrison,SG,-,-,3.27,28.5,34.5,1,2015
Tyler Harvey,SG,10.56,2.93,3.44,26,28.5,1,2015
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34,9,2015
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32,38,13,2015
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36,15,2015
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31,-,2015
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1,2015
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13,2015
Dakari Johnson,C,11.76,2.94,3.62,22.5,25,4,2015
Stanley Johnson,SF,-,-,-,-,-,-,2015
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2,2015
Frank Kaminsky,C-PF,-,-,-,-,-,-,2015
Kevon Looney,PF,-,-,-,-,-,-,2015
Trey Lyles,PF,-,-,-,-,-,-,2015
Jarell Martin,PF,11.2,2.97,3.27,28.5,35,19,2015
TJ McConnell,PG,10.95,3.09,3.3,26,31.5,7,2015
Chris McCullough,PF,-,-,-,-,-,-,2015
Jordan Mickey,PF,11.72,3.13,3.28,33,37.5,9,2015
Larry Nance,PF,10.93,3.01,3.25,29,37.5,10,2015
Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37,7,2015
Cameron Payne,PG,10.9,2.93,3.28,29.8,35.5,-,2015
Terran Petteway,SG,10.91,3.1,3.32,25,31,15,2015
Bobby Portis,PF,11.78,3.28,3.56,25,31.5,5,2015
Norman Powell,SG,10.69,3.2,3.2,32.5,40.5,5,2015
Michael Qualls,SG-SF,11.88,-,3.18,34,39.5,9,2015
Chasson Randle,PG,10.63,2.81,3.2,33.5,39.5,6,2015
Terry Rozier,PG-SG,10.84,2.84,3.15,33,38,7,2015
D?Angelo Russell,PG-SG,-,-,-,-,-,-,2015
Keifer Sykes,PG,10.47,3.15,3.13,34,43,8,2015
Marcus Thornton,PG-SG,10.78,2.88,3.02,34.5,43,3,2015
J.P. Tokoto,SF-SG,10.97,3.2,3.27,34.5,40,12,2015
Myles Turner,C-PF,-,-,-,-,-,-,2015
Robert Upshaw,C,-,-,-,-,-,-,2015
Rashad Vaughn,SG,11.4,3.1,3.21,28,34,5,2015
Chris Walker,PF,11.25,3.41,3.35,30.5,37,6,2015
Dez Wells,SG,10.56,3.05,3.2,31.5,39,15,2015
Alan Williams,PF,12.26,3.54,3.5,25.5,28.5,8,2015
Justise Winslow,SF,-,-,-,-,-,-,2015
Christian Wood,PF,-,-,-,-,-,-,2015
Delon Wright,PG,11.16,3.5,3.29,29.5,31,4,2015
Jordan Adams,SG,12.13,3.05,3.5,24.5,29.5,-,2014
Kyle Anderson,SF,-,-,-,-,-,-,2014
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,-,2014
Jordan Bachynski,PF,12.15,3.03,3.36,29,33,-,2014
Cameron Bairstow,PF,11.39,3.09,3.37,31,33.5,-,2014
Khem Birch,PF,11.6,3.24,3.26,30.5,35.5,-,2014
Alec Brown,PF,12.05,2.91,3.48,27,30,-,2014
Markel Brown,SG,12.62,2.9,3.18,36.5,43.5,-,2014
Jabari Brown,SG,11.6,3.26,3.5,28,32,-,2014
Deonte Burton,PG,11.28,3.08,3.28,29,39.5,-,2014
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,-,2014
Jordan Clarkson,PG,10.76,2.98,3.28,33,38.5,-,2014
Aaron Craft,PG,10.78,2.9,3.26,29,32,-,2014
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32,-,2014
Spencer Dinwiddie,PG,-,-,-,-,-,-,2014
Cleanthony Early,SF,11.15,2.96,3.18,34,40,-,2014
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35,-,2014
Tyler Ennis,PG,11.12,2.84,3.3,29,36,-,2014
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-,2014
C.J. Fair,SF,11,3.06,3.32,27,35,-,2014
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39,-,2014
Jerami Grant,SF,-,-,-,-,-,-,2014
P.J. Hairston,SG,11.12,-,3.32,32,37,-,2014
Gary Harris,SG,-,-,-,-,-,-,2014
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,-,2014
Rodney Hood,SF,11.21,3.14,3.38,29,36,-,2014
Cory Jefferson,PF,12.63,3.39,3.36,33,37.5,-,2014
Nick Johnson,SG,10.8,2.95,3.27,33.5,41.5,-,2014
Sean Kilpatrick,SG,-,-,-,-,-,-,2014
Alex Kirk,PF,11.2,3.19,3.48,28.5,31.5,-,2014
Zach LaVine,PG,10.42,2.8,3.19,33.5,41.5,-,2014
Devyn Marble,SG,11.32,3.08,3.28,29,35,-,2014
James McAdoo,PF,11.61,2.91,3.28,29.5,34,-,2014
K.J. McDaniels,SF,12.71,3.2,3.1,33,37,-,2014
Doug McDermott,SF,11.1,3.15,3.29,28.5,36.5,-,2014
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,-,2014
Shabazz Napier,PG,11.6,3.13,3.2,30.5,37.5,-,2014
Johnny O?Bryant III,PF,11.57,3.32,3.45,31,35.5,-,2014
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,-,2014
Adreian Payne,PF,-,-,-,-,-,-,2014
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-,2014
Dwight Powell,PF,11.28,2.88,3.2,28.5,35,-,2014
Julius Randle,PF,11.45,3.14,3.27,29,35.5,-,2014
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,-,2014
LaQuinton Ross,SF,11.97,3.52,3.44,25,31,-,2014
Marcus Smart,PG,10.82,2.96,3.26,33,36,-,2014
Russ Smith,PG,11.57,3.01,3.27,29.5,34,-,2014
Nik Stauskas,SG,10.79,2.92,3.27,29,35.5,-,2014
Jarnell Stokes,PF,11.92,3.2,3.26,31,36,-,2014
Xavier Thames,PG,11.48,3.02,3.48,29,32.5,-,2014
Noah Vonleh,PF,11.45,3.29,3.28,31,37,-,2014
T.J. Warren,SF,11.1,3.04,3.26,27,35.5,-,2014
C.J. Wilcox,SG,11.3,2.92,3.22,31,37.5,-,2014
Kendall Williams,PG,10.83,2.85,-,27,33,-,2014
Patric Young,PF,11.18,3.06,3.43,32,37.5,-,2014
James Young,SG,-,-,-,28,35.5,-,2014
Steven Adams,C,11.85,3.02,3.4,28.5,33,16,2013
Vander Blue,SG,10.4,2.7,3.14,28,37.5,4,2013
Lorenzo Brown,PG,11.78,3.24,3.4,28,34,8,2013
Reggie Bullock,SG-SF,11.33,3.3,3.31,31,36.5,11,2013
Trey Burke,PG,11.2,3.01,3.16,29.5,36.5,3,2013
Kentavious Caldwell-Pope,SG,10.6,3.2,3.12,29,34.5,7,2013
Isaiah Canaan,PG,10.98,2.89,3.22,33,40.5,16,2013
Jackie Carmichael,PF,11.83,3.07,3.35,30,32,13,2013
Michael Carter-Williams,PG,10.68,3.7,3.22,31.5,41,8,2013
Will Clyburn,SF-SG,11.68,3.12,3.38,28,34.5,3,2013
Robert Covington,SF-PF,11.69,3.1,3.34,29.5,36,9,2013
Allen Crabbe,SG,10.67,3.1,3.32,30.5,36,10,2013
Seth Curry,SG,-,-,-,-,-,-,2013
Brandon Davies,PF,11.22,3.14,3.5,26,31.5,7,2013
Dewayne Dedmon,C,12.75,3.26,3.4,28,32.5,8,2013
Gorgui Dieng,C,-,-,-,-,-,-,2013
James Ennis,SF,11.55,3.06,3.4,29.5,36.5,7,2013
Carrick Felix,SF-SG,11.16,3.09,3.25,32,38.5,15,2013
Jamaal Franklin,SG-SF,-,-,-,-,-,-,2013
Rudy Gobert,C,12.85,3.19,3.57,25,29,7,2013
Archie Goodwin,SG,10.75,3.41,3.27,30,36,1,2013
Erick Green,PG,-,-,-,-,-,5,2013
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16,2013
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14,2013
Richard Howell,PF,-,-,-,-,-,-,2013
Colton Iverson,C,11.52,3.04,3.52,26.5,30,12,2013
Pierre Jackson,PG,-,-,-,-,-,-,2013
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34,2,2013
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2,2013
Kenny Kadji,PF-C,11.47,2.88,3.44,34,38,9,2013
Ryan Kelly,PF,-,-,-,-,-,-,2013
Shane Larkin,PG,10.64,3.03,3.08,34.5,44,12,2013
Ricky Ledo,SG,10.72,3.16,3.32,27,33.5,4,2013
Alex Len,C,-,-,-,-,-,-,2013
CJ Leslie,PF-SF,10.19,2.79,3.1,32.5,40.5,-,2013
Trevor Mbakwe,PF,12.01,2.97,3.32,30,36.5,21,2013
Ray McCallum,PG,10.82,3.08,3.25,30.5,40,5,2013
CJ McCollum,PG-SG,11.02,2.91,3.32,32,38.5,13,2013
Ben McLemore,SG,11.87,3.11,3.27,32.5,42,6,2013
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38,13,2013
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37,10,2013
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13,2013
Mike Muscala,C-PF,11.76,2.99,3.44,28,33.5,5,2013
Nerlens Noel,C,-,-,-,-,-,-,2013
Victor Oladipo,SG,10.69,3.14,3.25,33,42,15,2013
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5,2013
Brandon Paul,SG,11.16,2.9,3.37,33.5,39.5,15,2013
Norvel Pelle,PF-C,11.49,3.2,3.32,31,34.5,-,2013
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36,14,2013
Otto Porter,SF,11.25,3.06,3.4,27,36,9,2013
Phil Pressey,PG,10.86,3.02,3.13,33,38.5,7,2013
Glen Rice,SF-SG,10.99,3.08,3.25,33,40.5,10,2013
Andre Roberson,PF-SF,11.36,3.02,3.34,30,36.5,10,2013
Dennis Schroder,PG,11.09,2.86,3.21,30,34,1,2013
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15,2013
Tony Snell,SF-SG,11.36,2.84,3.25,30,36.5,7,2013
James Southerland,SF-PF,10.9,3.03,3.38,29,32,5,2013
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13,2013
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32,5,2013
Jeff Withey,C,12.49,3.29,3.47,26.5,29,10,2013
Nate Wolters,PG,-,-,-,-,-,8,2013
BJ Young,SG-PG,-,-,-,-,-,-,2013
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17,2013
Quincy Acy,PF,10.48,-,3.28,32,37,13,2012
Harrison Barnes,SF-SG,10.93,-,3.16,38,39.5,15,2012
Will Barton,SG-SF,12.5,-,3.6,30,34,-,2012
Bradley Beal,SG,10.95,-,3.28,33,39,8,2012
J'Covan Brown,PG,11.68,-,3.47,26,29.5,3,2012
William Buford,SG-SF,11.4,-,3.43,27.5,32.5,8,2012
Jae Crowder,SF,11.45,-,3.37,31,34.5,20,2012
Jared Cunningham,SG-PG,-,-,-,-,-,4,2012
Anthony Davis,PF-C,-,-,-,-,-,-,2012
Marcus Denmon,SG,10.82,-,3.19,33.5,40,8,2012
Andre Drummond,C,10.83,-,3.39,31.5,33.5,10,2012
Kim English,SG,10.59,-,3.33,29,36.5,-,2012
Festus Ezeli,C-PF,12.35,-,3.29,34,33.5,18,2012
Drew Gordon,PF,11.35,-,3.49,29,34,10,2012
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19,2012
Draymond Green,PF-SF,11.01,-,3.4,28,33,9,2012
Maurice Harkless,SF,10.87,-,3.25,32.5,37,5,2012
John Henson,PF,-,-,-,25.5,30,5,2012
Tu Holloway,PG,11,-,3.42,28,35,12,2012
Robbie Hummel,SF,11.56,-,3.41,27.5,30,13,2012
Bernard James,PF,11.84,-,3.4,30,32.5,6,2012
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10,2012
Orlando Johnson,SG,10.98,-,3.25,32,39.5,13,2012
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17,2012
Terrence Jones,PF-SF,11.57,-,3.4,29.5,34.5,12,2012
Kevin Jones,PF,11.94,-,3.6,27.5,32.5,17,2012
Perry Jones,PF-SF,11.31,-,3.19,33,38.5,11,2012
Kris Joseph,SG,-,-,3.46,28.5,35,6,2012
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32,35.5,6,2012
Doron Lamb,SG-PG,11.12,-,3.41,29,33.5,2,2012
Jeremy Lamb,SG,10.98,-,3.25,31.5,38,5,2012
Meyers Leonard,C,11.34,-,3.41,30,32.5,19,2012
Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13,2012
Scott Machado,PG,11.26,-,3.3,27,32.5,17,2012
Kendall Marshall,PG,12.03,-,3.23,31,37,-,2012
Fab Melo,C,12.14,-,3.44,29.5,31,9,2012
Khris Middleton,SF,11.45,-,3.47,28,31,4,2012
Darius Miller,SF-SG,11.34,-,3.31,33,37,14,2012
Quincy Miller,SF,11.05,-,3.48,30.5,36,8,2012
Tony Mitchell,SG,11.72,-,3.47,31.5,40,14,2012
Arnett Moultrie,PF,11.32,-,3.22,33.5,37.5,10,2012
Kevin Murphy,SG,10.97,-,3.42,31,36.5,11,2012
Andrew Nicholson,PF,11.89,-,3.67,28.5,30.5,10,2012
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-,2012
Miles Plumlee,PF-C,10.64,-,3.36,34,40.5,15,2012
Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1,2012
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15,2012
Terrence Ross,SG-SF,11.78,-,3.28,31,37.5,2,2012
Tomas Satoransky,PG-SG,-,-,-,-,-,-,2012
Mike Scott,PF,11.59,-,3.44,27,32.5,14,2012
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7,2012
Jared Sullinger,PF,12.77,-,3.81,29.5,31,9,2012
Tyshawn Taylor,PG,11.48,-,3.2,32,36.5,-,2012
Jordan Taylor,PG,10.57,-,3.19,33,36.5,14,2012
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40,15,2012
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8,2012
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6,2012
Dion Waiters,SG,-,-,-,-,-,-,2012
Royce White,PF,-,-,-,-,-,-,2012
Tony Wroten,PG,10.75,-,3.24,30,35.5,-,2012
Tyler Zeller,PF-C,11.13,-,3.4,30,34,16,2012
Keith Benson,C-PF,11.88,-,3.35,31.5,36,12,2011
Marshon Brooks,SG,10.74,-,3.09,34,38.5,5,2011
Alec Burks,SG,10.96,-,3.17,29,36,5,2011
Jimmy Butler,SF,11.12,-,3.15,32,39,14,2011
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11,2011
Jon Diebler,SG,10.94,-,3.37,28,35,2,2011
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10,2011
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31,3,2011
Kenneth Faried,PF,11.35,-,3.26,30.5,35,16,2011
James Fredette,PG,10.42,-,3.21,28,33,14,2011
Andrew Goudelock,PG,10.33,-,3.1,32.5,37,4,2011
Jordan Hamilton,SF,11.47,-,3.3,25,32,7,2011
Justin Harper,PF-SF,11.92,-,3.3,28.5,33,19,2011
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12,2011
Tyler Honeycutt,SF,11.68,-,3.07,30,37,-,2011
Scotty Hopson,SG,10.47,-,3.18,32.5,36,10,2011
Kyrie Irving,PG,-,-,-,-,-,-,2011
Rick Jackson,PF,11.51,-,3.26,28.5,33,9,2011
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34,16,2011
JaJuan Johnson,PF,11.21,-,3.14,33.5,38,15,2011
Cory Joseph,PG,10.75,-,3.27,27.5,35,5,2011
Enes Kanter,PF-C,11.3,-,3.26,26,32.5,14,2011
Brandon Knight,PG,10.74,-,3.07,29,37.5,10,2011
Malcolm Lee,SG,11.2,-,3.09,30,35.5,17,2011
Kawhi Leonard,SF,11.45,-,3.15,25.5,32,3,2011
Travis Leslie,SG,11,-,3.13,33,40.5,10,2011
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14,2011
DeAndre Liggins,SF-SG,-,-,3.33,27,31,6,2011
David Lighty,SG,10.81,-,3.25,28.5,33,15,2011
Shelvin Mack,PG,11.23,-,3.18,32,39,17,2011
Demetri McCamey,PG,11.55,-,3.19,27,33,-,2011
E'Twaun Moore,SG,11.12,-,3.31,32,34.5,-,2011
Marcus Morris,PF-SF,-,-,3.15,29,33,11,2011
Markieff Morris,PF,-,-,3.4,27,31.5,11,2011
Darius Morris,PG-SG,11,-,3.2,24.5,32,12,2011
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4,2011
Jereme Richmond,SF,11.74,-,3.02,27,33.5,-,2011
Josh Selby,SG-PG,11.13,-,3.2,29.5,42,5,2011
Iman Shumpert,PG-SG,11.1,-,3.18,36.5,42,18,2011
Kyle Singler,SF,11.22,-,3.21,23,30,10,2011
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15,2011
Jamie Skeen,PF,12.43,-,3.46,26,30.5,10,2011
Nolan Smith,PG,11.05,-,3.17,28.5,34,9,2011
Gregory Smith,PF-C,12.43,-,3.36,29.5,36,17,2011
Malcolm Thomas,PF,11.31,-,3.29,32,36.5,3,2011
Isaiah Thomas,PG,10.49,-,3.14,31.5,40,13,2011
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15,2011
Tristan Thompson,PF,10.92,-,3.26,30,35,9,2011
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5,2011
Jeremy Tyler,PF-C,11.26,-,3.29,28,33.5,10,2011
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25,8,2011
Kemba Walker,PG,10.87,-,3.16,32,39.5,7,2011
Jordan Williams,PF,12.74,-,3.45,25,30.5,10,2011
Derrick Williams,PF-SF,11.03,-,3.23,29,34.5,19,2011
Solomon Alabi,C,13.2,-,3.68,22.5,26,10,2010
Cole Aldrich,C,11.48,-,3.35,23,28,10,2010
Al-Farouq Aminu,SF,11.29,-,3.3,27,33.5,13,2010
James Anderson,SF,11.86,-,3.19,30,35.5,14,2010
Luke Babbitt,SF-PF,10.98,-,3.4,29.5,37.5,15,2010
Eric Bledsoe,PG,-,-,-,-,-,9,2010
Trevor Booker,PF,11.15,-,3.1,31,36,22,2010
Craig Brackins,PF-SF,11.65,-,3.39,26,35,6,2010
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2,2010
Derrick Caracter,PF,12.78,-,3.61,25,30.5,22,2010
Sherron Collins,PG,12.31,-,3.24,27.5,33,-,2010
DeMarcus Cousins,C,11.4,-,3.55,23.5,27.5,-,2010
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7,2010
Ed Davis,PF,11.7,-,3.21,31,36,-,2010
Devin Ebanks,SF,11.69,-,3.44,23.5,32,6,2010
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14,2010
Keith Gallon,PF-C,13.44,-,3.7,23.5,28.5,14,2010
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2,2010
Paul George,SF,-,-,-,-,-,4,2010
Luke Harangody,PF,11.83,-,3.41,24,28.5,23,2010
Manny Harris,SG,-,-,-,-,-,11,2010
Lazar Hayward,SG-SF,10.87,-,3.31,31,36,15,2010
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10,2010
Xavier Henry,SG,11.1,-,3.18,28.5,36.5,8,2010
Darington Hobson,SG-SF,11.68,-,3.25,29,34,-,2010
Damion James,SF,10.89,-,3.2,29,33,13,2010
Wesley Johnson,SF,11.43,-,3.14,32,37,16,2010
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18,2010
Dominique Jones,SG,10.88,-,3.31,26,32.5,19,2010
Jerome Jordan,C,-,-,-,-,-,-,2010
Sylven Landesberg,SG,11.59,-,3.36,28,32,8,2010
Gani Lawal,PF,11.61,-,3.24,27,31.5,20,2010
Greg Monroe,PF-C,12.1,-,3.35,25,29,15,2010
Daniel Orton,C,12.32,-,3.39,24,30.5,13,2010
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16,2010
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17,2010
Dexter Pittman,PF-C,-,-,-,-,-,-,2010
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8,2010
Ryan Richards,PF,11.33,-,3.37,25,28.5,4,2010
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6,2010
Larry Sanders,PF-C,12.49,-,3.27,25.5,28,7,2010
Jon Scheyer,PG-SG,-,-,-,-,-,-,2010
Lance Stephenson,SG,11.39,-,3.38,27,33,10,2010
Mikhail Torrance,PG,11.43,-,3.17,23,32,8,2010
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9,2010
Ekpe Udoh,PF,11.15,-,3.29,31,33.5,10,2010
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3,2010
Greivis Vasquez,PG-SG,-,-,-,-,-,-,2010
John Wall,PG,10.84,-,3.14,30,39,-,2010
Willie Warren,SG-PG,11.21,-,3.5,23,31.5,10,2010
Terrico White,SG-PG,11.38,-,3.15,31,40,10,2010
Hassan Whiteside,C-PF,11.83,-,3.54,27,31.5,12,2010
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16,2009
Jeff Ayres,PF,11.98,-,3.14,31,35,15,2009
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39,3,2009
DeJuan Blair,PF,11.5,-,3.45,26,33,18,2009
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20,2009
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10,2009
